year,initiative,category,category1,category2,categoryjack,categorychad
2011,Deliver fusion science and technology for the ITER era,"energy systems, ITER",Advanced Energy Systems and ITER,energy systems,Energy Systems,"energy systems, iter"
2011,Invigorate science through graduate education,graduate education,Graduate Education,graduate and post-graduate education,Grad Ed,graduate education
2011,Enable 21st century electric grid technology,grid technology,Enable 21st century electric grid technology,electric grid,Grid Tech,grid technology
2011,"Scale computers, computational science, and data analytics to the extreme for discovery and innovation","HPC, data analytics, computational science",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2011,Deliver advanced materials for energy applications,materials,material discovery and design,materials,Materials,materials
2011,Provide science and technology to solve challenges in global security,national security,Global Security Science and Technology,national security,National Security,national security
2011,Deliver science using neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2011,Achieve transformational nuclear S&T outcomes through coupled experiments and simulations,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2012,Achieve breakthroughs in biomass production and conversion for energy and materials,biomass production,biomass production and conversion,biomass production and conversion,Biomass Prod,biomass production
2012,Advance understanding of climate change impacts,climate,Climate Change Science,climate science,Climate Science,climate
2012,Invigorate science through graduate research and education,graduate education,Graduate Education,graduate and post-graduate education,Grad Ed,graduate education
2012,"Scale computing, data infrastructure, and analytics for science","HPC, data analytics, data infrastructure",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2012,Discover and demonstrate advanced materials for energy applications,materials,material discovery and design,materials,Materials,materials
2012,Provide science and technology to solve challenges in global security,national security,Global Security Science and Technology,national security,National Security,national security
2012,Deliver science using neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2012,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2012,Deliver sustainable transportation solutions,transportation,Sustainable transportation solutions,transportation,Transportation,transportation
2013,"Enhance building energy efficiency, sustainable transportation, and advanced manufacturing","energy systems, transportation, manufacturing, buiding energy efficiency","building efficiency, sustainable transportation, advanced manufacturing","building systems, transportation, advanced manufacturing",Energy Efficiency,"building systems, transportation, advanced manufacturing"
2013,"Advance understanding in biological, environmental systems, and climate change impacts science","climate, biological systems, environmental systems","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2013,Invigorate science through graduate and post-graduate research and education,graduate education,Graduate and post-graduate education,graduate and post-graduate education,Grad Ed,graduate education
2013,"Scale computing, data infrastructure, and analytics for science","HPC, data analytics, data infrastructure",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2013,Discover and demonstrate advanced materials for energy applications,materials,material discovery and design,materials,Materials,materials
2013,Solve the nation’s most compelling global security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2013,Deliver science using neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2013,Advance the scientific basis for breakthrough nuclear science and technology,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2013,Enhance technology transfer,tech transfer,Enhance technology transfer,technology transfer,Tech Transfer,tech transfer
2014,"Enhance building energy efficiency, sustainable transportation, and advanced manufacturing","energy systems, transportation, manufacturing, buiding energy efficiency","building efficiency, sustainable transportation, advanced manufacturing","building systems, transportation, advanced manufacturing",Energy Efficiency,"building systems, transportation, advanced manufacturing"
2014,"Advance understanding in biological, environmental systems, and climate change impacts science","climate, biological systems, environmental systems","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2014,Invigorate science through graduate and post-graduate research and education,graduate education,Graduate and post-graduate education,graduate and post-graduate education,Grad Ed,graduate education
2014,"Scale computing, data infrastructure, and analytics for science","HPC, data analytics, data infrastructure",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2014,Discover and demonstrate advanced materials for energy,materials,material discovery and design,materials,Materials,materials
2014,Deliver science and technology to address complex global security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2014,Deliver science using neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2014,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2014,Enhance technology transfer,tech transfer,Enhance technology transfer,technology transfer,Tech Transfer,tech transfer
2015,"Advance understanding of complexity in biological, environmental and climate systems","climate, biological systems, environmental systems","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2015,"Accelerate research, development, and manufacturing of integrated energy systems","energy systems, transportation, manufacturing, buiding energy efficiency",integrated energy systems,energy systems,Energy Systems,energy systems
2015,Scale computing and data analytics for science and energy,"HPC, data analytics",scale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2015,Accelerate the discovery of new materials for energy,materials,material discovery and design,materials,Materials,materials
2015,Deliver science and technology to address complex national security challenges,national security,Global Security Science and Technology,national security,National Security,national security
